                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.56794,                0.50202,                0.92268,                0.93725,                0.86025,                 0.9273,                0.67425,                0.93134,                0.55411,                 1.0723,             0.00032555,             0.00032555,             0.00032555
                    149,                 0.5632,                0.49072,                0.92231,                0.94384,                0.85579,                0.92969,                0.68799,                 0.9389,                0.55949,                 1.0711,             0.00031636,             0.00031636,             0.00031636
                    150,                0.56078,                0.48604,                0.91919,                0.93752,                0.87324,                0.92411,                0.67676,                0.93372,                0.56136,                 1.0686,             0.00030717,             0.00030717,             0.00030717
                    151,                0.57954,                0.51747,                0.92732,                 0.9364,                0.87521,                 0.9262,                0.67509,                0.93523,                 0.5596,                 1.0728,             0.00029798,             0.00029798,             0.00029798
                    152,                0.57692,                0.51804,                0.91763,                0.94883,                0.86291,                  0.926,                0.67958,                0.92673,                0.55839,                 1.0698,             0.00028879,             0.00028879,             0.00028879
                    153,                0.55523,                0.47322,                 0.9071,                0.93103,                0.87895,                0.93071,                 0.6863,                0.93151,                0.54756,                 1.0713,             0.00027961,             0.00027961,             0.00027961
                    154,                0.52609,                0.46744,                0.89863,                 0.9325,                0.87565,                0.92345,                0.67653,                0.93565,                0.57225,                 1.0784,             0.00027042,             0.00027042,             0.00027042
                    155,                0.54654,                0.47132,                0.90969,                0.92353,                0.88652,                0.92526,                0.67417,                0.92742,                0.54436,                 1.0791,             0.00026123,             0.00026123,             0.00026123
                    156,                0.57088,                0.47874,                0.91746,                0.92621,                0.88295,                0.92741,                0.68433,                0.92108,                0.54592,                 1.0644,             0.00025204,             0.00025204,             0.00025204
                    157,                0.55213,                0.44805,                0.90556,                0.94077,                0.86881,                0.93141,                0.69037,                  0.924,                0.54803,                 1.0701,             0.00024285,             0.00024285,             0.00024285
                    158,                0.54748,                0.47099,                0.91173,                0.92386,                0.88079,                 0.9254,                0.67059,                0.94049,                0.56686,                 1.0827,             0.00023367,             0.00023367,             0.00023367
                    159,                0.54673,                0.46151,                0.90618,                0.92622,                0.88274,                0.92568,                0.68278,                0.93376,                0.55964,                  1.079,             0.00022448,             0.00022448,             0.00022448
                    160,                0.55211,                 0.4715,                0.90958,                0.93834,                0.87928,                 0.9254,                0.68475,                0.93061,                 0.5545,                 1.0766,             0.00021529,             0.00021529,             0.00021529
                    161,                0.54628,                0.46297,                0.90389,                0.94659,                0.87409,                0.92893,                0.68653,                0.93315,                  0.543,                 1.0722,              0.0002061,              0.0002061,              0.0002061
                    162,                0.54345,                0.46149,                0.90672,                0.93518,                0.87926,                0.92881,                0.68589,                0.93107,                0.55259,                 1.0706,             0.00019691,             0.00019691,             0.00019691
                    163,                0.54155,                0.46086,                0.90837,                0.94006,                0.87661,                0.92958,                0.68392,                0.93576,                0.55155,                  1.074,             0.00018773,             0.00018773,             0.00018773
                    164,                0.53302,                0.43898,                 0.8967,                0.93584,                0.88119,                0.92877,                0.68606,                0.93682,                0.55279,                 1.0737,             0.00017854,             0.00017854,             0.00017854
                    165,                0.53061,                0.44409,                0.89889,                 0.9343,                 0.8832,                0.92971,                0.68734,                0.93144,                0.55214,                 1.0685,             0.00016935,             0.00016935,             0.00016935
                    166,                0.53214,                0.45768,                0.89564,                0.94736,                0.87103,                0.92587,                0.68356,                0.93566,                0.56179,                 1.0733,             0.00016016,             0.00016016,             0.00016016
                    167,                0.53318,                0.44474,                0.89453,                0.94692,                0.86885,                0.92544,                0.68064,                0.93706,                0.55553,                  1.075,             0.00015097,             0.00015097,             0.00015097
                    168,                0.53574,                0.44836,                0.89641,                0.93882,                0.86967,                0.92334,                0.68212,                0.93084,                0.54915,                 1.0704,             0.00014179,             0.00014179,             0.00014179
                    169,                0.52617,                0.44251,                 0.8995,                0.93139,                0.87374,                0.92144,                0.68385,                  0.927,                0.55354,                 1.0734,              0.0001326,              0.0001326,              0.0001326
                    170,                0.52908,                0.44172,                0.88728,                0.93275,                0.87791,                 0.9228,                0.68499,                0.92684,                 0.5534,                 1.0723,             0.00012341,             0.00012341,             0.00012341
                    171,                0.45177,                0.33778,                0.85016,                0.92907,                0.87328,                0.91862,                0.67137,                0.93314,                0.55979,                 1.0907,             0.00011422,             0.00011422,             0.00011422
                    172,                0.46944,                0.34349,                0.86293,                0.93443,                0.87155,                0.92049,                0.67395,                0.93036,                0.55769,                 1.0831,             0.00010503,             0.00010503,             0.00010503
                    173,                0.46234,                0.35519,                0.85631,                0.94277,                0.86478,                0.92384,                0.68147,                0.93085,                0.55729,                 1.0827,             9.5845e-05,             9.5845e-05,             9.5845e-05
                    174,                0.44441,                0.31417,                0.84612,                0.94218,                0.86704,                 0.9262,                0.68188,                 0.9315,                0.55546,                 1.0782,             8.6657e-05,             8.6657e-05,             8.6657e-05
                    175,                0.44052,                0.31916,                 0.8478,                0.93926,                0.87183,                0.92739,                0.68579,                 0.9335,                0.55533,                 1.0808,             7.7469e-05,             7.7469e-05,             7.7469e-05
                    176,                0.43066,                 0.2986,                0.84126,                0.92737,                0.88913,                0.92771,                0.68879,                 0.9326,                0.54195,                 1.0809,             6.8281e-05,             6.8281e-05,             6.8281e-05
                    177,                0.44394,                0.31168,                 0.8364,                0.94405,                0.87408,                0.92925,                0.69232,                0.93077,                0.54077,                 1.0767,             5.9093e-05,             5.9093e-05,             5.9093e-05
                    178,                0.43013,                0.30548,                0.84342,                0.94017,                0.87546,                0.92929,                0.69446,                0.93111,                0.54448,                 1.0765,             4.9905e-05,             4.9905e-05,             4.9905e-05
                    179,                0.43331,                 0.3094,                0.84022,                0.93705,                0.87791,                0.93026,                0.69461,                0.92855,                0.53729,                 1.0754,             4.0717e-05,             4.0717e-05,             4.0717e-05
                    180,                0.44419,                0.30547,                0.85044,                0.93785,                0.87825,                 0.9305,                0.69459,                 0.9293,                0.53841,                 1.0761,             3.1529e-05,             3.1529e-05,             3.1529e-05
