                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86161,                0.92983,                   1.09,                0.88173,                0.82223,                0.88199,                0.58511,                  1.051,                0.72202,                 1.1193,              0.0013638,              0.0013638,              0.0013638
                     36,                0.86939,                0.93668,                 1.0853,                0.89423,                 0.8239,                 0.8882,                0.59338,                 1.0713,                0.72892,                 1.1284,              0.0013546,              0.0013546,              0.0013546
                     37,                0.86279,                0.95954,                 1.1001,                0.90346,                0.82768,                0.88827,                0.60393,                  1.044,                0.71558,                 1.1477,              0.0013454,              0.0013454,              0.0013454
                     38,                0.84821,                0.95143,                  1.084,                0.86631,                0.83418,                0.89377,                0.61687,                 1.0278,                 0.7214,                 1.1018,              0.0013362,              0.0013362,              0.0013362
                     39,                0.82399,                0.90116,                 1.0762,                0.88287,                0.84073,                 0.8947,                0.60737,                 1.0455,                0.71831,                 1.1266,               0.001327,               0.001327,               0.001327
                     40,                0.82588,                0.89808,                 1.0614,                0.87459,                0.85727,                0.90207,                0.61279,                 1.0316,                0.69669,                 1.1113,              0.0013179,              0.0013179,              0.0013179
                     41,                 0.8417,                0.92728,                 1.0723,                0.92282,                0.84739,                0.91657,                0.59744,                  1.047,                0.69078,                 1.1268,              0.0013087,              0.0013087,              0.0013087
                     42,                0.82946,                  0.936,                 1.0749,                0.89848,                0.82797,                0.89715,                 0.6179,                   1.03,                0.71791,                 1.1188,              0.0012995,              0.0012995,              0.0012995
                     43,                0.82552,                0.94224,                 1.0708,                0.89352,                0.83895,                0.90675,                0.60147,                  1.008,                0.70342,                 1.1036,              0.0012903,              0.0012903,              0.0012903
                     44,                 0.8359,                0.89293,                  1.072,                0.87825,                0.81628,                0.89753,                0.61439,                 1.0285,                0.72507,                 1.1221,              0.0012811,              0.0012811,              0.0012811
                     45,                0.80568,                0.87821,                 1.0528,                0.84265,                0.84459,                 0.9018,                0.62064,                 1.0196,                0.70316,                 1.0873,              0.0012719,              0.0012719,              0.0012719
                     46,                0.82602,                0.89537,                 1.0507,                0.89099,                0.83676,                0.90121,                0.62456,                 1.0109,                0.70884,                 1.1014,              0.0012627,              0.0012627,              0.0012627
                     47,                0.79841,                0.84547,                 1.0511,                0.92517,                0.85118,                0.91062,                0.61139,                 1.0035,                0.67329,                 1.0909,              0.0012535,              0.0012535,              0.0012535
                     48,                0.81788,                0.89255,                 1.0568,                0.90661,                0.81419,                0.90578,                0.64096,                0.99772,                0.69056,                 1.0841,              0.0012444,              0.0012444,              0.0012444
                     49,                 0.7978,                0.85306,                 1.0456,                0.89218,                0.85396,                0.91219,                0.62002,                 1.0105,                0.66228,                 1.1008,              0.0012352,              0.0012352,              0.0012352
                     50,                 0.7935,                0.82931,                 1.0343,                0.89524,                0.86077,                 0.9095,                0.63938,                0.98185,                0.65275,                 1.0762,               0.001226,               0.001226,               0.001226
                     51,                0.79292,                0.84511,                 1.0326,                 0.9122,                0.86242,                  0.916,                0.63182,                 1.0043,                0.66198,                 1.0997,              0.0012168,              0.0012168,              0.0012168
                     52,                 0.7853,                0.81996,                  1.033,                0.89639,                0.86079,                0.91754,                0.64504,                0.98469,                0.66445,                 1.0727,              0.0012076,              0.0012076,              0.0012076
                     53,                0.76187,                0.85235,                  1.014,                0.92215,                0.84643,                0.91822,                 0.6449,                0.97984,                0.63634,                 1.0801,              0.0011984,              0.0011984,              0.0011984
                     54,                0.78045,                0.83449,                 1.0385,                0.90969,                0.83397,                0.90781,                0.64621,                 1.0024,                0.65193,                 1.0913,              0.0011892,              0.0011892,              0.0011892
                     55,                 0.7792,                0.84494,                 1.0505,                0.88948,                0.85811,                0.90779,                0.62794,                 1.0052,                0.66877,                 1.0964,                0.00118,                0.00118,                0.00118
                     56,                0.75755,                0.80395,                 1.0317,                0.91504,                0.85575,                0.91887,                0.64279,                0.97851,                0.63084,                 1.0792,              0.0011708,              0.0011708,              0.0011708
                     57,                0.74423,                0.76531,                 1.0109,                0.85326,                0.83492,                0.89562,                0.63784,                0.98172,                0.70423,                 1.0921,              0.0011617,              0.0011617,              0.0011617
                     58,                0.75563,                0.80694,                 1.0321,                0.90753,                0.86548,                0.91792,                0.64013,                 1.0001,                0.64958,                 1.1015,              0.0011525,              0.0011525,              0.0011525
                     59,                0.77852,                0.81432,                 1.0319,                 0.9033,                0.85366,                0.91323,                0.63338,                 1.0031,                0.64716,                 1.1032,              0.0011433,              0.0011433,              0.0011433
                     60,                0.76746,                0.81039,                  1.032,                0.91461,                0.86165,                 0.9173,                0.61369,                0.99168,                0.62835,                 1.0963,              0.0011341,              0.0011341,              0.0011341
                     61,                0.75862,                0.76248,                 1.0185,                0.93149,                0.85314,                0.92714,                0.63771,                0.97582,                0.61606,                 1.0797,              0.0011249,              0.0011249,              0.0011249
                     62,                 0.7603,                0.78185,                 1.0255,                 0.9091,                0.87052,                0.91856,                0.64108,                0.96652,                0.62957,                 1.0762,              0.0011157,              0.0011157,              0.0011157
                     63,                0.76963,                0.77092,                 1.0151,                0.91889,                0.86305,                0.91952,                0.63404,                 1.0104,                0.62696,                 1.1023,              0.0011065,              0.0011065,              0.0011065
                     64,                0.74576,                0.76572,                 1.0152,                0.91393,                0.87638,                 0.9208,                0.63608,                0.98529,                0.60947,                 1.0964,              0.0010973,              0.0010973,              0.0010973
                     65,                0.75686,                0.77082,                 1.0172,                0.91244,                0.83757,                0.91515,                0.64418,                0.99193,                0.64501,                 1.0954,              0.0010882,              0.0010882,              0.0010882
                     66,                0.73039,                0.72435,                 1.0012,                0.92193,                0.86288,                0.92061,                0.64337,                0.98106,                0.60303,                  1.099,               0.001079,               0.001079,               0.001079
                     67,                 0.7433,                0.75141,                 1.0262,                0.91906,                0.84349,                0.91497,                 0.6418,                0.98877,                0.62368,                 1.0972,              0.0010698,              0.0010698,              0.0010698
                     68,                0.72241,                 0.7427,                 1.0186,                0.90135,                0.85701,                0.91621,                0.63924,                0.96437,                 0.6504,                 1.0861,              0.0010606,              0.0010606,              0.0010606
                     69,                0.72037,                0.73008,                 1.0074,                0.91243,                0.86806,                0.92084,                0.62276,                0.98167,                0.60385,                 1.0839,              0.0010514,              0.0010514,              0.0010514
                     70,                0.72906,                0.74885,                 1.0019,                0.90226,                0.86071,                0.92705,                0.65567,                0.96561,                0.60229,                   1.08,              0.0010422,              0.0010422,              0.0010422
                     71,                0.70589,                0.74403,                 1.0039,                0.91345,                0.87408,                0.92718,                0.62789,                0.97212,                0.60915,                 1.0872,               0.001033,               0.001033,               0.001033
                     72,                0.70112,                0.69814,                0.99014,                0.92213,                0.86287,                0.92605,                0.63394,                0.97093,                 0.5951,                 1.1003,              0.0010238,              0.0010238,              0.0010238
                     73,                0.72043,                0.73411,                 1.0063,                0.90593,                0.88188,                0.92803,                0.64347,                0.98038,                0.59499,                 1.0818,              0.0010146,              0.0010146,              0.0010146
                     74,                   0.72,                0.73113,                 1.0017,                0.92743,                 0.8584,                  0.925,                0.63682,                0.97441,                0.59274,                 1.0905,              0.0010055,              0.0010055,              0.0010055
                     75,                0.73616,                0.72273,                 1.0192,                 0.9133,                0.87127,                0.91407,                 0.6311,                0.99057,                0.63334,                 1.0982,             0.00099627,             0.00099627,             0.00099627
                     76,                0.71994,                0.73468,                 1.0104,                0.90933,                0.84634,                0.91871,                0.63873,                0.96764,                0.63937,                 1.0796,             0.00098708,             0.00098708,             0.00098708
                     77,                0.73301,                 0.7316,                  1.005,                0.91514,                0.85706,                0.92248,                0.65743,                 0.9753,                0.61704,                 1.0694,              0.0009779,              0.0009779,              0.0009779
                     78,                0.70834,                0.71896,                0.99989,                0.92041,                0.86214,                0.92863,                0.62634,                0.98881,                0.61802,                 1.0886,             0.00096871,             0.00096871,             0.00096871
                     79,                0.73393,                0.71107,                0.99709,                0.92236,                0.86786,                0.92631,                0.64962,                0.96189,                0.58283,                 1.0699,             0.00095952,             0.00095952,             0.00095952
                     80,                0.74075,                0.69862,                  1.004,                0.91445,                0.86323,                0.92059,                0.64002,                0.96875,                0.59817,                 1.0806,             0.00095033,             0.00095033,             0.00095033
                     81,                0.70338,                0.67574,                0.98115,                0.91078,                0.86235,                0.92903,                0.64078,                0.94982,                0.58577,                  1.067,             0.00094114,             0.00094114,             0.00094114
                     82,                 0.6938,                0.70452,                0.98801,                0.91883,                0.85873,                0.92963,                0.64817,                0.96183,                 0.5851,                 1.0758,             0.00093196,             0.00093196,             0.00093196
                     83,                0.69234,                0.69249,                0.98329,                0.94115,                0.86598,                0.93198,                0.65991,                0.95707,                0.58151,                 1.0656,             0.00092277,             0.00092277,             0.00092277
                     84,                0.69217,                0.69917,                0.98113,                0.93351,                0.87667,                 0.9319,                0.64113,                0.96626,                 0.5804,                  1.092,             0.00091358,             0.00091358,             0.00091358
                     85,                  0.691,                0.66115,                0.97233,                  0.944,                0.87158,                0.93075,                0.65117,                0.98029,                0.57966,                 1.0896,             0.00090439,             0.00090439,             0.00090439
                     86,                0.70426,                0.67511,                0.99382,                0.91456,                0.86385,                 0.9166,                0.64169,                0.97309,                0.62718,                  1.089,              0.0008952,              0.0008952,              0.0008952
                     87,                0.68995,                0.67575,                0.98935,                0.93576,                0.84589,                0.92722,                0.65311,                0.96923,                0.60281,                 1.0813,             0.00088602,             0.00088602,             0.00088602
                     88,                0.69864,                0.65285,                0.98038,                0.94112,                0.83789,                 0.9145,                0.65026,                0.97053,                0.61883,                 1.0865,             0.00087683,             0.00087683,             0.00087683
                     89,                 0.7038,                0.66313,                0.97733,                0.92669,                 0.8537,                0.92519,                0.64051,                0.98371,                0.62593,                 1.0875,             0.00086764,             0.00086764,             0.00086764
                     90,                0.67151,                0.66088,                 0.9739,                 0.9311,                0.86172,                0.93768,                0.65379,                 0.9622,                0.59979,                 1.0868,             0.00085845,             0.00085845,             0.00085845
                     91,                0.65975,                0.68222,                0.96447,                0.91391,                 0.8744,                0.92901,                0.64823,                0.96895,                0.58971,                 1.0893,             0.00084926,             0.00084926,             0.00084926
                     92,                 0.6633,                0.64156,                0.96976,                0.93709,                0.85463,                0.92829,                0.65148,                0.95671,                0.58285,                 1.0728,             0.00084008,             0.00084008,             0.00084008
                     93,                0.67117,                 0.6335,                 0.9709,                0.92965,                0.88286,                0.93472,                0.65378,                0.96718,                0.57816,                 1.0801,             0.00083089,             0.00083089,             0.00083089
